<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>
2025.01.18	13:00:00	103131.40	103841.20	102891.50	103534.50
2025.01.18	14:00:00	103534.50	103989.20	103326.30	103395.00
2025.01.18	15:00:00	103403.90	104362.00	103079.20	104314.80
2025.01.18	16:00:00	104318.20	104521.90	103673.00	103934.70
2025.01.18	17:00:00	103938.70	104949.40	103707.50	104504.60
2025.01.18	18:00:00	104501.90	104669.00	103100.20	103196.40
2025.01.18	19:00:00	103200.90	104172.70	103197.00	103782.00
2025.01.18	20:00:00	103766.70	104354.60	103730.30	104030.10
2025.01.18	21:00:00	104041.00	104448.90	104027.10	104337.40
2025.01.18	22:00:00	104344.30	104456.40	103737.50	103987.40
2025.01.18	23:00:00	103992.60	104227.70	103845.10	103845.10
2025.01.19	00:00:00	103841.30	104271.40	103820.80	104251.60
2025.01.19	01:00:00	104253.60	104699.10	104253.60	104495.40
2025.01.19	02:00:00	104511.80	104511.80	104067.50	104078.10
2025.01.19	03:00:00	104081.10	104644.50	103967.50	104440.00
2025.01.19	04:00:00	104441.30	105282.00	104439.90	104835.50
2025.01.19	05:00:00	104836.20	105150.60	104499.20	104945.70
2025.01.19	06:00:00	104956.70	105222.70	104629.40	104997.20
2025.01.19	07:00:00	104997.50	105097.50	104215.50	105082.70
2025.01.19	08:00:00	105077.80	105608.30	104989.50	105541.30
2025.01.19	09:00:00	105541.90	105561.60	104936.10	105139.30
2025.01.19	10:00:00	105139.20	105147.80	104298.20	104400.80
2025.01.19	11:00:00	104398.70	105445.80	103449.10	105278.30
2025.01.19	12:00:00	105279.40	105291.40	104377.40	104806.20
2025.01.19	13:00:00	104816.60	105335.50	104167.40	104336.10
2025.01.19	14:00:00	104345.30	105008.40	104273.20	104917.50
2025.01.19	15:00:00	104932.70	105311.40	104842.40	104933.50
2025.01.19	16:00:00	104934.20	105718.90	104750.90	105119.90
2025.01.19	17:00:00	105120.70	105209.10	104477.70	104933.50
2025.01.19	18:00:00	104921.90	105206.40	104691.60	104930.30
2025.01.19	19:00:00	104926.10	105165.30	104507.50	105116.50
2025.01.19	20:00:00	105102.80	105259.40	104876.50	105011.40
2025.01.19	21:00:00	104996.40	106241.80	104945.00	106235.40
2025.01.19	22:00:00	106230.10	106437.40	105487.60	106278.70
2025.01.19	23:00:00	106284.00	106379.00	103664.40	103679.80
2025.01.20	00:00:00	103669.30	104482.20	100988.70	103384.20
2025.01.20	01:00:00	103378.60	103378.60	99587.80	101295.50
2025.01.20	02:00:00	101299.00	101621.00	99489.90	99756.90
2025.01.20	03:00:00	99772.20	100951.40	99587.50	100650.70
2025.01.20	04:00:00	100656.80	102287.40	100547.30	101891.50
2025.01.20	05:00:00	101905.20	102187.40	101375.00	101863.50
2025.01.20	06:00:00	101854.90	102777.40	101508.30	102182.80
2025.01.20	07:00:00	102178.80	102802.40	102080.00	102317.40
2025.01.20	08:00:00	102327.40	109966.85	102194.60	107553.90
2025.01.20	09:00:00	107551.60	109481.50	106939.90	107171.90
2025.01.20	10:00:00	107157.20	108399.20	107127.30	108319.40
2025.01.20	11:00:00	108320.40	109207.50	107569.90	108150.70
2025.01.20	12:00:00	108154.90	108757.40	107787.80	107987.70
2025.01.20	13:00:00	107980.10	108565.60	107788.50	108255.00
2025.01.20	14:00:00	108272.05	108742.10	105495.70	106940.20
2025.01.20	15:00:00	106944.60	108158.90	106681.70	107976.10
2025.01.20	16:00:00	107981.60	108174.10	107317.70	107911.30
2025.01.20	17:00:00	107901.10	108037.40	104510.05	104978.20
2025.01.20	18:00:00	104988.80	107061.50	103701.90	106677.70
2025.01.20	19:00:00	106670.80	106771.00	100506.10	102913.40
2025.01.20	20:00:00	102920.70	104437.70	102682.30	103884.10
2025.01.20	21:00:00	103900.20	103940.00	102723.90	103661.70
2025.01.20	22:00:00	103651.10	104298.10	103317.60	103620.20
2025.01.20	23:00:00	103615.00	104047.40	102544.40	102577.10
2025.01.21	00:00:00	102569.30	103798.90	101816.80	103564.10
2025.01.21	01:00:00	103572.60	103658.40	101710.00	102235.10
2025.01.21	02:00:00	102235.10	102655.40	101088.50	101163.00
2025.01.21	03:00:00	101181.60	102212.30	100092.80	101484.30
2025.01.21	04:00:00	101482.00	102754.40	101040.20	102533.40
2025.01.21	05:00:00	102531.40	103257.00	102288.70	102910.20
2025.01.21	06:00:00	102911.70	102959.40	101913.80	102324.70
2025.01.21	07:00:00	102322.50	102503.30	101327.70	101351.90
2025.01.21	08:00:00	101354.70	102162.50	101100.00	102157.10
2025.01.21	09:00:00	102152.70	102450.40	101803.90	101968.20
2025.01.21	10:00:00	101962.20	102475.40	101714.80	102424.20
2025.01.21	11:00:00	102429.90	102874.00	102034.80	102669.30
2025.01.21	12:00:00	102665.10	103324.20	102540.20	103127.10
2025.01.21	13:00:00	103128.40	103937.40	103041.40	103712.50
2025.01.21	14:00:00	103712.50	104687.40	103573.20	104480.40
2025.01.21	15:00:00	104472.60	104945.30	104088.90	104415.80
2025.01.21	16:00:00	104415.90	105279.00	102997.90	103242.90
2025.01.21	17:00:00	103247.40	104073.00	102787.50	103916.60
2025.01.21	18:00:00	103913.40	106534.20	103770.50	104943.00
2025.01.21	19:00:00	104936.70	106368.60	104863.30	106133.90
2025.01.21	20:00:00	106133.80	107215.40	105848.00	106827.80
2025.01.21	21:00:00	106829.20	107110.00	106235.50	106977.40
2025.01.21	22:00:00	106982.45	107162.40	105889.50	106092.30
2025.01.21	23:00:00	106091.50	106768.40	105718.10	106726.20
2025.01.22	00:00:00	106721.00	106730.40	105928.50	105954.10
2025.01.22	01:00:00	105961.20	106244.60	105387.70	106101.90
2025.01.22	02:00:00	106105.00	106278.60	105757.70	105911.10
2025.01.22	03:00:00	105900.90	106372.00	105419.50	105771.50
2025.01.22	04:00:00	105768.20	106169.10	105520.90	105557.30
2025.01.22	05:00:00	105551.90	105880.80	105551.90	105575.60
2025.01.22	06:00:00	105568.50	105784.60	105245.50	105541.70
2025.01.22	07:00:00	105533.40	105842.60	105456.10	105655.60
2025.01.22	08:00:00	105658.80	105936.00	105142.60	105353.60
2025.01.22	09:00:00	105351.10	105655.40	105024.70	105051.20
2025.01.22	10:00:00	105051.60	105317.40	104663.00	105232.50
2025.01.22	11:00:00	105226.80	105240.30	104869.50	104959.60
2025.01.22	12:00:00	104967.00	105132.40	104603.25	105099.50
2025.01.22	13:00:00	105093.50	105431.80	104712.40	105071.20
2025.01.22	14:00:00	105071.30	105543.50	105018.30	105220.40
2025.01.22	15:00:00	105218.00	105314.90	103779.80	104034.90
2025.01.22	16:00:00	104040.10	104891.60	103605.40	104343.90
2025.01.22	17:00:00	104364.80	105113.80	103920.80	104125.50
2025.01.22	18:00:00	104126.60	104165.80	103275.60	103659.00
2025.01.22	19:00:00	103662.30	104551.10	103619.70	104288.60
2025.01.22	20:00:00	104292.80	104632.00	103693.80	103854.00
2025.01.22	21:00:00	103868.10	104708.40	103814.40	104587.40
2025.01.22	22:00:00	104564.00	104791.50	104018.50	104264.00
2025.01.22	23:00:00	104258.80	104318.70	103544.40	104033.40
2025.01.23	00:00:00	104021.30	104451.50	103717.50	103805.20
2025.01.23	01:00:00	103826.50	104093.40	103595.00	103652.40
2025.01.23	02:00:00	103652.40	103764.80	102996.10	103253.10
2025.01.23	03:00:00	103258.30	103610.20	102532.40	102889.90
2025.01.23	04:00:00	102898.50	102952.00	102076.20	102612.80
2025.01.23	05:00:00	102609.00	102957.90	102137.70	102404.50
2025.01.23	06:00:00	102405.30	102441.40	101537.90	102016.90
2025.01.23	07:00:00	102007.50	102599.90	101928.30	102496.30
2025.01.23	08:00:00	102506.40	102934.00	102171.70	102226.10
2025.01.23	09:00:00	102217.10	102740.40	102044.80	102655.80
2025.01.23	10:00:00	102655.40	102655.40	101997.80	102169.20
2025.01.23	11:00:00	102174.10	102428.30	101600.00	101623.30
2025.01.23	12:00:00	101628.90	102027.50	101201.00	101629.60
2025.01.23	13:00:00	101630.90	102137.40	101630.90	101896.70
2025.01.23	14:00:00	101897.70	102081.10	101365.80	101587.90
2025.01.23	15:00:00	101585.30	102675.00	101267.70	102460.40
2025.01.23	16:00:00	102457.50	105986.40	101931.50	105166.10
2025.01.23	17:00:00	105136.70	105741.00	102609.70	105207.40
2025.01.23	18:00:00	105218.10	106826.30	104997.50	105092.00
2025.01.23	19:00:00	105080.20	106185.30	104153.50	105871.40
2025.01.23	20:00:00	105879.90	106091.20	105027.50	105363.30
2025.01.23	21:00:00	105367.20	105443.00	103330.60	103714.30
2025.01.23	22:00:00	103708.90	106367.30	102514.10	103219.10
2025.01.23	23:00:00	103220.00	103348.20	102151.10	103014.10
2025.01.24	00:00:00	103017.70	104655.20	102914.70	103924.50
2025.01.24	01:00:00	103924.50	104472.70	103719.60	103851.50
2025.01.24	02:00:00	103851.50	104104.80	103361.40	103404.20
2025.01.24	03:00:00	103402.30	103832.40	103007.50	103172.20
2025.01.24	04:00:00	103167.60	103473.60	102892.60	102957.90
2025.01.24	05:00:00	102956.60	104251.50	102670.60	103830.10
2025.01.24	06:00:00	103817.20	104881.20	103733.00	104570.00
2025.01.24	07:00:00	104560.10	105225.80	104491.20	105166.90
2025.01.24	08:00:00	105168.50	105301.00	104569.80	104943.50
2025.01.24	09:00:00	104943.60	105139.40	104600.60	104986.40
2025.01.24	10:00:00	104987.30	105574.85	104863.20	105441.80
2025.01.24	11:00:00	105437.70	105715.10	105008.50	105093.40
2025.01.24	12:00:00	105093.30	105374.50	104994.00	105356.20
2025.01.24	13:00:00	105368.20	105476.80	105159.50	105361.50
2025.01.24	14:00:00	105366.80	105547.40	105121.20	105471.90
2025.01.24	15:00:00	105471.80	105732.40	104912.10	105060.60
2025.01.24	16:00:00	105056.00	106294.20	104614.50	105710.10
2025.01.24	17:00:00	105718.70	105950.30	105190.00	105803.80
2025.01.24	18:00:00	105808.70	106112.00	105523.60	105589.90
2025.01.24	19:00:00	105584.50	106642.40	105553.60	106401.60
2025.01.24	20:00:00	106397.90	107063.90	106025.70	106266.70
2025.01.24	21:00:00	106257.50	106547.40	105628.80	105714.10
2025.01.24	22:00:00	105707.50	105719.80	104668.60	104784.10
2025.01.24	23:00:00	104800.40	105328.40	104800.40	105055.60
2025.01.25	00:00:00	105061.50	105416.00	104645.10	104712.30
2025.01.25	01:00:00	104715.30	104870.10	104387.50	104797.20
2025.01.25	02:00:00	104795.50	104795.50	104297.50	104358.40
2025.01.25	03:00:00	104358.30	104767.20	104319.30	104677.50
2025.01.25	04:00:00	104673.70	104790.80	104400.60	104506.00
2025.01.25	05:00:00	104507.50	105220.50	104401.30	105136.60
2025.01.25	06:00:00	105139.30	105139.30	104552.40	104596.80
2025.01.25	07:00:00	104586.30	104639.80	104187.50	104303.20
2025.01.25	08:00:00	104297.20	104425.50	104176.20	104252.60
2025.01.25	09:00:00	104252.50	104466.60	104230.20	104336.80
2025.01.25	10:00:00	104333.50	104448.90	104064.50	104291.00
2025.01.25	11:00:00	104290.60	104397.00	104217.90	104311.40
2025.01.25	12:00:00	104308.10	104617.30	104032.10	104468.10
2025.01.25	13:00:00	104474.40	104637.90	104328.70	104614.30
2025.01.25	14:00:00	104622.80	104731.10	104387.60	104687.30
2025.01.25	15:00:00	104694.70	104802.40	104567.20	104646.10
2025.01.25	16:00:00	104657.50	104661.50	104403.30	104540.50
2025.01.25	17:00:00	104541.80	105049.30	104541.80	104839.90
2025.01.25	18:00:00	104848.90	104931.80	104528.30	104600.00
2025.01.25	19:00:00	104612.00	104870.00	104398.30	104837.50
2025.01.25	20:00:00	104833.80	105252.60	104775.50	104920.00
2025.01.25	21:00:00	104926.20	105127.40	104841.80	104997.60
2025.01.25	22:00:00	104993.00	105150.00	104897.80	104913.00
2025.01.25	23:00:00	104913.40	105084.00	104810.90	105048.90
2025.01.26	00:00:00	105063.60	105217.20	104945.40	105012.60
2025.01.26	01:00:00	105007.30	105072.60	104630.80	104687.10
2025.01.26	02:00:00	104689.40	104794.40	104457.50	104549.80
2025.01.26	03:00:00	104539.50	104725.20	104452.20	104560.50
2025.01.26	04:00:00	104568.60	104650.70	104459.30	104641.50
2025.01.26	05:00:00	104641.60	105218.80	104641.40	105029.10
2025.01.26	06:00:00	105026.60	105472.40	104931.40	105120.30
2025.01.26	07:00:00	105132.70	105158.90	104964.30	105044.00
2025.01.26	08:00:00	105054.00	105074.10	104910.50	104950.90
2025.01.26	09:00:00	104954.10	105060.40	104892.80	104951.20
2025.01.26	10:00:00	104947.10	105188.70	104815.50	104987.50
2025.01.26	11:00:00	104981.00	104992.40	104346.70	104567.50
2025.01.26	12:00:00	104564.50	104661.50	104428.90	104653.70
2025.01.26	13:00:00	104652.70	104788.30	104599.90	104767.60
2025.01.26	14:00:00	104760.30	104840.80	104636.30	104840.80
2025.01.26	15:00:00	104843.40	105007.30	104768.90	104899.60
2025.01.26	16:00:00	104899.70	104954.60	104737.50	104879.90
2025.01.26	17:00:00	104880.30	105030.20	104823.10	104907.40
2025.01.26	18:00:00	104908.00	104985.60	104837.60	104877.50
2025.01.26	19:00:00	104877.60	105015.20	104865.50	104892.60
2025.01.26	20:00:00	104893.10	105222.40	104858.30	105131.20
2025.01.26	21:00:00	105131.20	105198.20	104988.50	105033.40
2025.01.26	22:00:00	104999.70	105162.40	104871.00	104902.10
2025.01.26	23:00:00	104902.70	104943.40	104487.50	104487.50
2025.01.27	00:00:00	104484.50	104650.70	104227.40	104261.40
2025.01.27	01:00:00	104258.60	104258.60	102439.60	102557.20
2025.01.27	02:00:00	102547.50	103203.90	101501.40	101656.90
2025.01.27	03:00:00	101663.70	102007.40	101087.50	101231.50
2025.01.27	04:00:00	101227.10	101612.30	100764.50	100928.10
2025.01.27	05:00:00	100925.30	101803.90	100641.00	101336.60
2025.01.27	06:00:00	101336.70	101336.70	100199.50	100350.90
2025.01.27	07:00:00	100350.30	100675.60	99657.50	100320.60
2025.01.27	08:00:00	100301.10	100428.40	98647.90	98900.40
2025.01.27	09:00:00	98898.60	99339.90	97685.30	98983.80
2025.01.27	10:00:00	98976.10	99293.20	98626.50	98974.10
2025.01.27	11:00:00	98974.90	99481.00	98733.00	99353.00
2025.01.27	12:00:00	99348.10	99387.40	98223.70	98349.20
2025.01.27	13:00:00	98339.30	99303.10	98270.50	98687.50
2025.01.27	14:00:00	98688.30	100843.10	98653.80	100577.46
2025.01.27	15:00:00	100568.82	101622.21	99955.70	100421.90
2025.01.27	16:00:00	100421.90	102244.00	100041.00	101850.20
2025.01.27	17:00:00	101845.40	102048.90	100787.50	101058.20
2025.01.27	18:00:00	101058.40	101192.50	99508.50	99695.50
2025.01.27	19:00:00	99695.40	100006.80	99002.70	99107.60
2025.01.27	20:00:00	99112.60	99716.00	98808.10	99146.50
2025.01.27	21:00:00	99153.00	99900.00	99131.80	99647.80
2025.01.27	22:00:00	99644.20	101703.10	99537.90	101337.00
2025.01.27	23:00:00	101332.60	102384.80	100907.50	101293.20
2025.01.28	00:00:00	101309.30	101904.10	101205.10	101567.40
2025.01.28	01:00:00	101577.30	102110.40	101577.30	102008.70
2025.01.28	02:00:00	102008.70	102827.30	101715.60	101800.00
2025.01.28	03:00:00	101801.40	101936.40	101307.10	101307.10
2025.01.28	04:00:00	101302.30	102374.90	101256.50	102327.20
2025.01.28	05:00:00	102336.60	102825.60	101963.80	102570.10
2025.01.28	06:00:00	102582.40	103306.30	102532.50	102847.40
2025.01.28	07:00:00	102857.00	103274.30	102744.80	102956.50
2025.01.28	08:00:00	102958.30	103145.20	102557.10	102689.90
2025.01.28	09:00:00	102690.00	103263.70	102472.60	102740.40
2025.01.28	10:00:00	102741.70	102968.70	102543.60	102787.80
2025.01.28	11:00:00	102783.10	102916.10	102339.80	102912.60
2025.01.28	12:00:00	102904.60	103138.40	102542.20	102694.50
2025.01.28	13:00:00	102697.60	102882.30	102505.50	102705.30
2025.01.28	14:00:00	102713.50	102929.30	102400.85	102541.40
2025.01.28	15:00:00	102536.60	102882.00	102413.60	102537.20
2025.01.28	16:00:00	102538.30	102853.10	101758.00	102587.40
2025.01.28	17:00:00	102589.50	103769.55	102443.70	102724.20
2025.01.28	18:00:00	102718.00	102852.90	101837.50	102199.20
2025.01.28	19:00:00	102197.60	103051.80	102161.40	102512.70
2025.01.28	20:00:00	102514.40	103070.90	102111.40	102148.50
2025.01.28	21:00:00	102145.00	102611.40	101765.50	102361.40
2025.01.28	22:00:00	102356.20	102480.50	101182.70	101213.80
2025.01.28	23:00:00	101208.20	101475.60	100228.10	100286.20
2025.01.29	00:00:00	100281.00	101356.10	100222.50	101203.10
2025.01.29	01:00:00	101207.20	101385.40	100687.50	101267.10
2025.01.29	02:00:00	101267.10	101757.70	101257.30	101640.90
2025.01.29	03:00:00	101644.80	101947.80	101413.50	101791.50
2025.01.29	04:00:00	101795.00	102283.30	101639.20	101733.40
2025.01.29	05:00:00	101730.60	102105.70	101713.00	101981.50
2025.01.29	06:00:00	101980.10	102141.90	101900.30	101949.50
2025.01.29	07:00:00	101944.00	102334.50	101921.10	102205.70
2025.01.29	08:00:00	102219.00	102788.00	102176.60	102750.70
2025.01.29	09:00:00	102750.80	102755.50	102406.50	102710.70
2025.01.29	10:00:00	102713.50	102988.50	102631.60	102692.40
2025.01.29	11:00:00	102691.70	102732.20	102259.00	102283.40
2025.01.29	12:00:00	102287.50	102676.40	102141.30	102494.80
2025.01.29	13:00:00	102499.30	102766.80	102361.90	102582.20
2025.01.29	14:00:00	102597.10	102771.10	102147.40	102177.40
2025.01.29	15:00:00	102178.90	102279.00	101642.50	101791.40
2025.01.29	16:00:00	101771.00	102332.70	101516.80	101969.50
2025.01.29	17:00:00	101973.00	102461.70	101724.50	101921.70
2025.01.29	18:00:00	101908.55	102104.60	101620.90	102049.10
2025.01.29	19:00:00	102041.50	102735.70	101943.50	102350.00
2025.01.29	20:00:00	102356.30	102967.70	101935.50	102795.10
2025.01.29	21:00:00	102790.80	103975.50	101352.50	103538.40
2025.01.29	22:00:00	103523.30	104742.40	102781.20	104150.80
2025.01.29	23:00:00	104133.10	104340.10	103659.80	103669.10
2025.01.30	00:00:00	103676.00	103962.40	103338.30	103427.50
2025.01.30	01:00:00	103440.20	104290.40	103402.50	103685.60
2025.01.30	02:00:00	103685.60	104065.10	103216.60	103965.80
2025.01.30	03:00:00	103971.50	104513.40	103867.50	104209.30
2025.01.30	04:00:00	104214.90	104632.30	103935.50	104631.80
2025.01.30	05:00:00	104631.50	105266.70	104456.00	105143.10
2025.01.30	06:00:00	105128.70	105549.50	104795.80	105419.70
2025.01.30	07:00:00	105421.10	105465.30	104981.30	105325.40
2025.01.30	08:00:00	105326.10	105527.60	105102.50	105127.50
2025.01.30	09:00:00	105129.20	105289.20	104750.40	105077.80
2025.01.30	10:00:00	105087.50	105281.60	104866.90	104997.50
2025.01.30	11:00:00	105005.50	105490.10	104960.30	105352.90
2025.01.30	12:00:00	105349.90	105350.00	105048.60	105286.20
2025.01.30	13:00:00	105286.10	105344.50	105012.10	105239.40
2025.01.30	14:00:00	105239.40	105266.50	104807.50	104963.80
2025.01.30	15:00:00	104958.70	105316.30	104785.00	104822.40
2025.01.30	16:00:00	104822.20	106181.40	104594.70	105867.30
2025.01.30	17:00:00	105860.30	106393.60	105322.60	105506.80
2025.01.30	18:00:00	105507.30	105946.40	105389.80	105637.40
2025.01.30	19:00:00	105637.70	105637.70	104837.50	105227.50
2025.01.30	20:00:00	105234.90	105525.00	104693.20	105510.80
2025.01.30	21:00:00	105515.80	105715.80	105160.40	105647.30
2025.01.30	22:00:00	105659.40	105753.90	104757.90	104830.70
2025.01.30	23:00:00	104823.70	105153.00	104724.50	104983.80
2025.01.31	00:00:00	104976.80	105287.90	104910.60	105031.40
2025.01.31	01:00:00	105036.70	105196.60	104620.20	104664.40
2025.01.31	02:00:00	104664.40	104969.60	104343.60	104832.10
2025.01.31	03:00:00	104826.90	104857.00	104354.20	104680.80
2025.01.31	04:00:00	104675.70	104807.40	104203.50	104287.50
2025.01.31	05:00:00	104264.50	104333.50	103870.50	104274.10
2025.01.31	06:00:00	104273.50	104506.90	103913.90	103965.20
2025.01.31	07:00:00	103965.20	104437.40	103958.20	104262.20
2025.01.31	08:00:00	104257.80	104697.40	104238.10	104455.50
2025.01.31	09:00:00	104454.20	104763.80	103973.50	104145.30
2025.01.31	10:00:00	104150.45	104277.70	103971.70	103977.50
2025.01.31	11:00:00	103983.30	104286.20	103876.10	104209.40
2025.01.31	12:00:00	104207.60	104390.90	104025.50	104236.50
2025.01.31	13:00:00	104242.30	104806.50	104242.30	104666.70
2025.01.31	14:00:00	104674.70	104867.80	104507.50	104652.70
2025.01.31	15:00:00	104660.90	104977.00	104498.20	104618.20
2025.01.31	16:00:00	104609.60	104812.00	104040.40	104393.10
2025.01.31	17:00:00	104395.60	105987.40	104395.60	105394.40
2025.01.31	18:00:00	105392.10	105523.40	104647.80	105029.00
2025.01.31	19:00:00	105030.30	105038.60	104458.50	104526.30
2025.01.31	20:00:00	104531.40	104773.40	102553.10	102590.80
2025.01.31	21:00:00	102592.90	102966.40	102087.50	102264.20
2025.01.31	22:00:00	102249.90	102287.40	101553.50	101634.70
2025.01.31	23:00:00	101626.50	102097.70	101496.50	102084.20
2025.02.01	00:00:00	102086.20	102430.60	101855.20	102200.30
2025.02.01	01:00:00	102186.50	102377.90	101895.20	102367.20
2025.02.01	02:00:00	102367.20	102523.30	102147.80	102437.60
2025.02.01	03:00:00	102442.40	102709.00	102397.50	102508.60
2025.02.01	04:00:00	102508.00	102722.30	102320.50	102395.80
2025.02.01	05:00:00	102394.00	102452.20	102128.70	102191.30
2025.02.01	06:00:00	102189.00	102431.40	102062.30	102258.50
2025.02.01	07:00:00	102248.10	102530.40	102178.40	102432.40
2025.02.01	08:00:00	102432.30	102520.50	102119.60	102354.20
2025.02.01	09:00:00	102348.50	102432.30	102095.70	102113.80
2025.02.01	10:00:00	102107.50	102227.60	101777.30	101963.40
2025.02.01	11:00:00	101942.60	101964.80	101343.70	101626.40
2025.02.01	12:00:00	101626.50	101923.40	101569.40	101585.00
2025.02.01	13:00:00	101587.70	102007.40	101587.70	101967.50
2025.02.01	14:00:00	101967.40	102272.50	101943.90	102214.40
2025.02.01	15:00:00	102213.60	102232.00	101762.40	101820.80
2025.02.01	16:00:00	101821.30	102114.50	101757.50	101759.50
2025.02.01	17:00:00	101769.30	102125.00	101667.60	102019.00
2025.02.01	18:00:00	102019.10	102172.60	101814.50	101847.50
2025.02.01	19:00:00	101844.30	102233.20	101844.30	102203.10
2025.02.01	20:00:00	102207.40	102225.50	101912.60	101952.00
2025.02.01	21:00:00	101951.20	101977.40	101382.30	101607.50
2025.02.01	22:00:00	101603.00	101603.00	100897.45	101282.90
2025.02.01	23:00:00	101281.10	101528.80	100937.90	101137.30
2025.02.02	00:00:00	101137.40	101372.40	100426.40	100606.60
2025.02.02	01:00:00	100601.00	100832.90	100210.80	100629.60
2025.02.02	02:00:00	100591.00	101235.90	100446.60	101192.00
2025.02.02	03:00:00	101200.80	101413.40	101106.50	101194.60
2025.02.02	04:00:00	101203.00	101226.10	100358.10	100388.80
2025.02.02	05:00:00	100397.90	100713.10	99098.50	99147.80
2025.02.02	06:00:00	99139.40	99814.20	98976.50	99477.50
2025.02.02	07:00:00	99482.90	100287.40	99428.50	100199.40
2025.02.02	08:00:00	100194.40	100456.40	100045.90	100215.10
2025.02.02	09:00:00	100219.30	100219.40	99549.60	99570.40
2025.02.02	10:00:00	99553.00	100058.40	99275.80	99769.50
2025.02.02	11:00:00	99765.50	99807.30	99287.50	99629.80
2025.02.02	12:00:00	99622.50	99627.50	99187.50	99354.50
2025.02.02	13:00:00	99360.90	99538.00	98554.20	98799.00
2025.02.02	14:00:00	98787.50	99102.90	98087.50	98111.90
2025.02.02	15:00:00	98117.00	98776.70	98100.40	98737.50
2025.02.02	16:00:00	98736.60	99371.40	98647.50	99145.70
2025.02.02	17:00:00	99142.40	99352.90	98657.50	99286.00
2025.02.02	18:00:00	99288.15	99306.10	98035.40	98214.70
2025.02.02	19:00:00	98212.40	98537.45	96931.30	97188.90
2025.02.02	20:00:00	97191.40	97880.80	96767.40	97038.00
2025.02.02	21:00:00	97041.30	98653.40	96804.30	98219.50
2025.02.02	22:00:00	98220.00	98582.30	97605.70	97746.50
2025.02.02	23:00:00	97748.90	97932.50	96507.60	96986.20
2025.02.03	00:00:00	96993.60	97984.30	96042.25	97959.10
2025.02.03	01:00:00	97961.00	97961.60	96488.60	97651.90
2025.02.03	02:00:00	97651.90	97729.70	95370.95	96448.60
2025.02.03	03:00:00	96453.85	96859.20	91793.60	93367.10
2025.02.03	04:00:00	93392.00	94956.50	91145.65	93526.60
2025.02.03	05:00:00	93527.30	94631.30	93387.60	93983.40
2025.02.03	06:00:00	93990.00	94441.30	92602.00	92756.10
2025.02.03	07:00:00	92746.30	94228.20	92726.90	94155.60
2025.02.03	08:00:00	94152.50	94564.10	93600.70	93860.10
2025.02.03	09:00:00	93855.20	95360.50	93793.70	95258.50
2025.02.03	10:00:00	95258.30	95565.10	94793.50	95272.00
2025.02.03	11:00:00	95261.90	95874.50	95172.80	95212.60
2025.02.03	12:00:00	95221.00	95680.40	94757.40	95656.40
2025.02.03	13:00:00	95658.40	95663.40	94892.80	95058.30
2025.02.03	14:00:00	95063.60	95570.60	94718.50	94718.50
2025.02.03	15:00:00	94718.60	95344.40	94323.70	94602.90
2025.02.03	16:00:00	94606.00	96642.40	94099.10	96527.80
2025.02.03	17:00:00	96526.20	99422.70	96120.50	98790.20
2025.02.03	18:00:00	98787.50	98994.30	98108.00	98495.90
2025.02.03	19:00:00	98498.00	99262.50	97984.20	99132.20
2025.02.03	20:00:00	99137.70	99887.50	98874.90	99760.40
2025.02.03	21:00:00	99766.10	101819.40	99508.90	101819.40
2025.02.03	22:00:00	101810.40	101887.40	100934.20	101040.50
2025.02.03	23:00:00	101022.80	101906.20	100858.50	101731.20
2025.02.04	00:00:00	101730.70	102427.90	101428.90	101635.90
2025.02.04	01:00:00	101642.40	101772.70	101206.00	101281.10
2025.02.04	02:00:00	101281.10	101600.80	100988.50	101013.80
2025.02.04	03:00:00	101020.00	101654.80	100691.80	101327.80
2025.02.04	04:00:00	101332.40	101380.10	100756.30	100787.40
2025.02.04	05:00:00	100796.30	100987.40	100505.80	100584.60
2025.02.04	06:00:00	100582.20	100723.70	99939.20	99995.90
2025.02.04	07:00:00	99996.80	100041.60	98171.50	98796.30
2025.02.04	08:00:00	98810.40	99577.80	98761.70	99312.30
2025.02.04	09:00:00	99298.20	99423.40	98267.40	98389.10
2025.02.04	10:00:00	98392.60	98672.50	97780.30	98232.40
2025.02.04	11:00:00	98231.90	98758.70	98196.50	98295.10
2025.02.04	12:00:00	98294.50	98919.90	98289.10	98729.50
2025.02.04	13:00:00	98724.40	99374.40	98689.80	98911.50
2025.02.04	14:00:00	98913.20	99750.30	98913.20	99301.10
2025.02.04	15:00:00	99313.40	99495.40	98904.20	98955.00
2025.02.04	16:00:00	98954.30	100355.40	98524.10	99930.40
2025.02.04	17:00:00	99923.50	100172.20	98208.80	99292.00
2025.02.04	18:00:00	99302.35	99897.40	98987.50	99008.00
2025.02.04	19:00:00	99012.90	99575.60	98787.50	99131.20
2025.02.04	20:00:00	99127.50	99532.60	98735.50	99361.80
2025.02.04	21:00:00	99363.40	100730.70	98722.80	98812.50
2025.02.04	22:00:00	98805.40	99373.30	97902.60	98584.10
2025.02.04	23:00:00	98587.60	98599.10	96346.70	96444.00
2025.02.05	00:00:00	96438.50	97886.40	96087.50	97627.10
2025.02.05	01:00:00	97627.40	98148.10	97413.60	97697.40
2025.02.05	02:00:00	97701.20	98330.50	97643.60	98203.10
2025.02.05	03:00:00	98196.10	98890.90	97622.70	97796.50
